run_id,target_rate_msg_s,avg_sent_msg_s,avg_received_msg_s,worst_p95_ms,success,note,duration_s,producers,consumers,size_bytes,queue,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent,avg_memory_used_gb
auto-r1000,1000,4004,4004,18,True,,15,4,4,1024,perf_queue,34.98,60.6,73.72,76.0,2.5
auto-r2000,2000,8011,8011,56,True,,15,4,4,1024,perf_queue,57.08,88.9,75.71,77.9,2.578
auto-r4000,4000,16020,16020,250,True,,15,4,4,1024,perf_queue,78.67,97.5,76.72,78.2,2.621
auto-r8000,8000,32036,31826,853,True,,15,4,4,1024,perf_queue,87.63,100.0,78.23,80.3,2.684
auto-r16000,16000,36459,33921,1330,False,ratio_below_0.95,16,4,4,1024,perf_queue,86.99,97.6,80.72,82.4,2.781
auto-r12000,12000,31167,30682,1426,True,,16,4,4,1024,perf_queue,82.41,94.7,81.1,82.8,2.794
auto-r14000,14000,34475,31931,1422,False,ratio_below_0.95,16,4,4,1024,perf_queue,82.7,92.1,81.04,83.0,2.791
auto-r13000,13000,34704,32331,1405,False,ratio_below_0.95,16,4,4,1024,perf_queue,84.93,92.9,80.95,82.5,2.788
auto-r12500,12500,36478,34145,1268,False,ratio_below_0.95,16,4,4,1024,perf_queue,86.67,94.9,80.62,82.3,2.776
auto-r12250,12250,33872,33729,1290,True,,16,4,4,1024,perf_queue,86.93,95.0,80.61,82.5,2.776
auto-r12375,12375,36214,33768,1293,False,ratio_below_0.95,16,4,4,1024,perf_queue,83.67,94.9,80.95,82.7,2.789
