run_id,target_rate_msg_s,time_s,sent_msg_s,received_msg_s,p50_ms,p95_ms,p99_ms,cpu_percent,memory_percent,memory_used_gb
auto-r1000,1000,1.001,4034,4034,5,18,24,60.6,70.3,2.37
auto-r1000,1000,2.001,4004,4002,0,1,1,33.3,70.9,2.391
auto-r1000,1000,3.001,4000,4000,0,1,2,32.3,71.6,2.417
auto-r1000,1000,4.001,4003,4005,0,1,2,33.3,72.0,2.434
auto-r1000,1000,5.0,4003,4002,0,1,1,25.9,72.7,2.459
auto-r1000,1000,6.001,4002,3998,0,1,1,32.1,73.1,2.476
auto-r1000,1000,7.001,4005,4007,0,1,1,40.6,73.9,2.507
auto-r1000,1000,8.001,3999,4002,0,1,1,35.5,74.8,2.54
auto-r1000,1000,9.0,4006,4002,0,1,4,37.5,75.2,2.557
auto-r1000,1000,10.0,4005,4002,0,1,1,29.0,75.9,2.584
auto-r1000,1000,11.001,3996,4003,0,1,1,27.6,76.0,2.587
auto-r1000,1000,12.001,4005,4003,0,1,1,38.7,76.0,2.587
auto-r1000,1000,13.001,4004,4005,0,1,1,40.0,76.0,2.587
auto-r1000,1000,14.001,4001,4001,0,1,1,33.3,76.0,2.588
auto-r1000,1000,15.001,4006,4001,0,1,1,25.9,76.0,2.588
auto-r2000,2000,1.001,8082,8081,4,56,70,88.9,71.7,2.425
auto-r2000,2000,2.001,8008,8001,0,1,3,69.0,73.1,2.478
auto-r2000,2000,3.001,8009,8010,0,1,2,66.7,74.0,2.511
auto-r2000,2000,4.001,8009,8011,0,1,2,42.9,75.6,2.571
auto-r2000,2000,5.001,8005,8003,0,1,2,60.7,76.5,2.607
auto-r2000,2000,6.001,8005,8010,0,1,1,51.5,76.5,2.608
auto-r2000,2000,7.001,8004,7998,0,1,1,64.5,76.5,2.608
auto-r2000,2000,8.001,8010,8013,1,1,4,56.2,76.5,2.606
auto-r2000,2000,9.001,8013,8006,0,1,1,69.4,76.5,2.606
auto-r2000,2000,10.001,7997,8003,0,1,7,59.4,77.1,2.632
auto-r2000,2000,11.001,8003,8007,0,1,4,46.7,77.8,2.659
auto-r2000,2000,12.001,8012,8008,0,1,2,44.8,77.8,2.659
auto-r2000,2000,13.001,7999,8005,0,1,4,50.0,77.9,2.661
auto-r2000,2000,14.001,8012,8008,0,1,1,58.6,77.9,2.661
auto-r2000,2000,15.001,7998,8002,0,1,1,51.6,77.9,2.66
auto-r4000,4000,1.001,16118,10663,43,142,158,57.9,70.9,2.398
auto-r4000,4000,2.001,16015,21465,2,250,283,83.8,75.5,2.572
auto-r4000,4000,3.001,16000,16005,1,4,17,80.6,76.9,2.628
auto-r4000,4000,4.001,16030,16022,1,1,3,82.9,77.0,2.631
auto-r4000,4000,5.001,16010,16005,1,2,10,80.6,77.0,2.63
auto-r4000,4000,6.001,16011,16018,1,2,6,81.2,78.2,2.678
auto-r4000,4000,7.001,16022,15980,1,2,8,80.8,78.2,2.678
auto-r4000,4000,8.001,16006,16042,1,1,9,86.2,78.2,2.677
auto-r4000,4000,9.0,16028,16022,1,2,4,85.7,78.2,2.678
auto-r4000,4000,10.001,16005,15997,1,2,4,85.3,78.2,2.678
auto-r4000,4000,11.0,16020,16033,1,2,12,85.7,78.2,2.677
auto-r4000,4000,12.001,16007,16002,1,2,5,88.6,78.1,2.676
auto-r4000,4000,13.001,16016,16027,1,3,8,78.6,78.1,2.675
auto-r4000,4000,14.001,16015,16005,1,1,2,82.1,78.1,2.675
auto-r4000,4000,15.001,16011,16015,1,5,23,72.4,78.0,2.673
auto-r8000,8000,1.001,27894,22085,80,213,228,85.7,73.4,2.498
auto-r8000,8000,2.001,36397,33664,108,758,862,86.1,77.4,2.653
auto-r8000,8000,3.001,32028,33621,72,853,878,83.9,77.9,2.671
auto-r8000,8000,4.001,32037,32062,107,620,647,91.9,79.6,2.735
auto-r8000,8000,5.001,32021,31293,134,596,615,91.4,79.8,2.744
auto-r8000,8000,6.009,32016,34214,131,599,612,91.9,80.0,2.753
auto-r8000,8000,7.001,32007,33203,77,527,557,94.9,80.0,2.753
auto-r8000,8000,8.001,32026,32502,76,336,354,91.4,80.2,2.759
auto-r8000,8000,9.001,32016,32133,76,252,270,94.3,80.1,2.758
auto-r8000,8000,10.001,32002,35185,58,232,271,100.0,79.5,2.733
auto-r8000,8000,11.001,32036,32035,3,28,31,94.4,78.2,2.683
auto-r8000,8000,12.001,32029,31064,53,83,100,91.7,78.5,2.695
auto-r8000,8000,13.001,32003,31367,53,71,80,90.9,78.6,2.698
auto-r8000,8000,14.001,32022,30123,86,141,164,91.2,78.7,2.702
auto-r8000,8000,15.001,32010,32849,124,168,179,90.9,79.4,2.727
auto-r16000,16000,1.001,61446,26195,222,596,645,95.0,77.1,2.643
auto-r16000,16000,2.001,36958,35550,823,1092,1118,86.1,78.8,2.707
auto-r16000,16000,3.001,33299,32123,1084,1213,1253,85.7,80.8,2.784
